ticker,Date,EPS
AAPL,9/24/2022 0:00,6.15
AAPL,9/25/2021 0:00,5.67
AAPL,9/26/2020 0:00,3.31
AAPL,9/28/2019 0:00,2.99
AAPL,9/29/2018 0:00,3
AAPL,9/30/2017 0:00,2.32
AAPL,9/24/2016 0:00,2.09
AAPL,9/26/2015 0:00,2.32
AAPL,9/27/2014 0:00,1.62
AAPL,9/28/2013 0:00,1.43
AAPL,9/29/2012 0:00,1.59
AAPL,9/24/2011 0:00,1
AAPL,9/25/2010 0:00,0.55
AAPL,9/26/2009 0:00,0.23
AAPL,9/27/2008 0:00,0.2
AAPL,9/29/2007 0:00,0.14
AAPL,9/30/2006 0:00,0.0843
AAPL,9/24/2005 0:00,0.0586
AAPL,9/25/2004 0:00,0.0129
AAPL,9/27/2003 0:00,0.0036
AAPL,9/28/2002 0:00,0.0032
AAPL,9/29/2001 0:00,-0.0019
AAPL,9/30/2000 0:00,0.0432
AAPL,9/25/1999 0:00,0.0375
AAPL,9/25/1998 0:00,0.0209
AAPL,9/26/1997 0:00,-0.0939
AAPL,9/27/1996 0:00,-0.0589
AAPL,9/29/1995 0:00,0.0308
AAPL,9/30/1994 0:00,0.0233
AAPL,9/30/1993 0:00,0.0065
AAPL,9/30/1992 0:00,0.0387
AAPL,9/30/1991 0:00,0.023
AAPL,9/30/1990 0:00,0.0338
AAPL,9/30/1989 0:00,0.0316
AAPL,9/30/1988 0:00,0.0275
AAPL,9/30/1987 0:00,0.0148
AAPL,9/30/1986 0:00,0.0107
AAPL,9/30/1985 0:00,0.0045
AMZN,12/31/2022 0:00,-0.27
AMZN,12/31/2021 0:00,3.3
AMZN,12/31/2020 0:00,2.13
AMZN,12/31/2019 0:00,1.17
AMZN,12/31/2018 0:00,1.03
AMZN,12/31/2017 0:00,0.32
AMZN,12/31/2016 0:00,0.25
AMZN,12/31/2015 0:00,0.064
AMZN,12/31/2014 0:00,-0.026
AMZN,12/31/2013 0:00,0.03
AMZN,12/31/2012 0:00,-0.0045
AMZN,12/31/2011 0:00,0.0695
AMZN,12/31/2010 0:00,0.13
AMZN,12/31/2009 0:00,0.1
AMZN,12/31/2008 0:00,0.076
AMZN,12/31/2007 0:00,0.0575
AMZN,12/31/2006 0:00,0.023
AMZN,12/31/2005 0:00,0.0435
AMZN,12/31/2004 0:00,0.0725
AMZN,12/31/2003 0:00,0.0045
AMZN,12/31/2002 0:00,-0.0195
AMZN,12/31/2001 0:00,-0.078
AMZN,12/31/2000 0:00,-0.2
AMZN,12/31/1999 0:00,-0.11
AMZN,12/31/1998 0:00,-0.021
AMZN,12/31/1997 0:00,-0.006
AMZN,12/31/1996 0:00,-0.0018
META,12/31/2022 0:00,8.63
META,12/31/2021 0:00,13.99
META,12/31/2020 0:00,10.22
META,12/31/2019 0:00,6.48
META,12/31/2018 0:00,7.65
META,12/31/2017 0:00,5.49
META,12/31/2016 0:00,3.56
META,12/31/2015 0:00,1.31
META,12/31/2014 0:00,1.12
META,12/31/2013 0:00,0.62
META,12/31/2012 0:00,0.02
META,12/31/2011 0:00,0.49
META,12/31/2010 0:00,0.174976
MSFT,6/30/2022 0:00,9.7
MSFT,6/30/2021 0:00,8.12
MSFT,6/30/2020 0:00,5.82
MSFT,6/30/2019 0:00,5.11
MSFT,6/30/2018 0:00,2.15
MSFT,6/30/2017 0:00,2.74
MSFT,6/30/2016 0:00,2.12
MSFT,6/30/2015 0:00,1.49
MSFT,6/30/2014 0:00,2.66
MSFT,6/30/2013 0:00,2.61
MSFT,6/30/2012 0:00,2.02
MSFT,6/30/2011 0:00,2.73
MSFT,6/30/2010 0:00,2.13
MSFT,6/30/2009 0:00,1.63
MSFT,6/30/2008 0:00,1.9
MSFT,6/30/2007 0:00,1.44
MSFT,6/30/2006 0:00,1.21
MSFT,6/30/2005 0:00,1.13
MSFT,6/30/2004 0:00,0.76
MSFT,6/30/2003 0:00,0.93
MSFT,6/30/2002 0:00,0.725
MSFT,6/30/2001 0:00,0.69
MSFT,6/30/2000 0:00,0.905
MSFT,6/30/1999 0:00,0.77
MSFT,6/30/1998 0:00,0.4575
MSFT,6/30/1997 0:00,0.32875
MSFT,6/30/1996 0:00,0.214375
MSFT,6/30/1995 0:00,0.145
MSFT,6/30/1994 0:00,0.1175
MSFT,6/30/1993 0:00,0.1
MSFT,6/30/1992 0:00,0.08
MSFT,6/30/1991 0:00,0.055
MSFT,6/30/1990 0:00,0.035
MSFT,6/30/1989 0:00,0.025
MSFT,6/30/1988 0:00,0.02
MSFT,6/30/1987 0:00,0.01
MSFT,6/30/1986 0:00,0.005352473
NFLX,12/31/2022 0:00,10.1
NFLX,12/31/2021 0:00,11.55
NFLX,12/31/2020 0:00,6.26
NFLX,12/31/2019 0:00,4.26
NFLX,12/31/2018 0:00,2.78
NFLX,12/31/2017 0:00,1.29
NFLX,12/31/2016 0:00,0.44
NFLX,12/31/2015 0:00,0.29
NFLX,12/31/2014 0:00,0.634286
NFLX,12/31/2013 0:00,0.275714
NFLX,12/31/2012 0:00,0.044286
NFLX,12/31/2011 0:00,0.625714
NFLX,12/31/2010 0:00,0.437143
NFLX,12/31/2009 0:00,0.292857
NFLX,12/31/2008 0:00,0.194286
NFLX,12/31/2007 0:00,0.142857
NFLX,12/31/2006 0:00,0.111429
NFLX,12/31/2005 0:00,0.112857
NFLX,12/31/2004 0:00,0.06
NFLX,12/31/2003 0:00,0.01
NFLX,12/31/2002 0:00,-0.111429
NFLX,12/31/2001 0:00,-0.755357
NFLX,12/31/2000 0:00,-1.472143
NVDA,1/29/2023 0:00,1.76
NVDA,1/30/2022 0:00,3.91
NVDA,1/31/2021 0:00,1.76
NVDA,1/26/2020 0:00,1.15
NVDA,1/27/2019 0:00,1.7
NVDA,1/28/2018 0:00,1.27
NVDA,1/29/2017 0:00,0.77
NVDA,1/31/2016 0:00,0.28
NVDA,1/25/2015 0:00,0.28
NVDA,1/26/2014 0:00,0.19
NVDA,1/27/2013 0:00,0.23
NVDA,1/29/2012 0:00,0.24
NVDA,1/30/2011 0:00,0.11
NVDA,1/31/2010 0:00,-0.0309
NVDA,1/31/2009 0:00,-0.0137
NVDA,1/31/2008 0:00,0.36
NVDA,1/28/2007 0:00,0.21
NVDA,1/29/2006 0:00,0.15
NVDA,1/30/2005 0:00,0.05
NVDA,1/31/2004 0:00,0.0384
NVDA,1/26/2003 0:00,0.0492
NVDA,1/27/2002 0:00,0.1
NVDA,1/28/2001 0:00,0.0638
NVDA,1/30/2000 0:00,0.0267
NVDA,1/31/1999 0:00,0.0058
TSLA,12/31/2022 0:00,4.02
TSLA,12/31/2021 0:00,1.87
TSLA,12/31/2020 0:00,0.25
TSLA,12/31/2019 0:00,-0.29
TSLA,12/31/2018 0:00,-0.42
TSLA,12/31/2017 0:00,-0.9
TSLA,12/31/2016 0:00,-0.36
TSLA,12/31/2015 0:00,-0.46
TSLA,12/31/2014 0:00,-0.16
TSLA,12/31/2013 0:00,-0.0413
TSLA,12/31/2012 0:00,-0.25
TSLA,12/31/2011 0:00,-0.17
TSLA,12/31/2010 0:00,-0.2
TSLA,12/31/2009 0:00,-0.0478
TSLA,12/31/2008 0:00,-0.0405
TSLA,12/31/2007 0:00,-0.0382
